,Date,Hour,Period,Passengers,TMax,TMin,Rain
41,2018-07-02,5,45,1.0,24.4,14.8,6.4
42,2018-07-02,6,0,1.0,24.4,14.8,6.4
43,2018-07-02,6,15,3.0,24.4,14.8,6.4
44,2018-07-02,6,30,2.0,24.4,14.8,6.4
45,2018-07-02,6,45,4.0,24.4,14.8,6.4
46,2018-07-02,7,0,7.0,24.4,14.8,6.4
47,2018-07-02,7,15,13.0,24.4,14.8,6.4
48,2018-07-02,7,30,11.0,24.4,14.8,6.4
49,2018-07-02,7,45,20.0,24.4,14.8,6.4
50,2018-07-02,8,0,22.0,24.4,14.8,6.4
51,2018-07-02,8,15,11.0,24.4,14.8,6.4
52,2018-07-02,8,30,19.0,24.4,14.8,6.4
53,2018-07-02,8,45,18.0,24.4,14.8,6.4
54,2018-07-02,9,0,11.0,24.4,14.8,6.4
55,2018-07-02,9,15,11.0,24.4,14.8,6.4
56,2018-07-02,9,30,6.0,24.4,14.8,6.4
57,2018-07-02,9,45,7.0,24.4,14.8,6.4
58,2018-07-02,10,0,16.0,24.4,14.8,6.4
59,2018-07-02,10,15,12.0,24.4,14.8,6.4
60,2018-07-02,10,30,6.0,24.4,14.8,6.4
61,2018-07-02,10,45,7.0,24.4,14.8,6.4
62,2018-07-02,11,0,8.0,24.4,14.8,6.4
63,2018-07-02,11,15,12.0,24.4,14.8,6.4
64,2018-07-02,11,30,10.0,24.4,14.8,6.4
65,2018-07-02,11,45,45.0,24.4,14.8,6.4
66,2018-07-02,12,0,9.0,24.4,14.8,6.4
67,2018-07-02,12,15,9.0,24.4,14.8,6.4
68,2018-07-02,12,30,4.0,24.4,14.8,6.4
69,2018-07-02,12,45,48.0,24.4,14.8,6.4
70,2018-07-02,13,0,46.0,24.4,14.8,6.4
71,2018-07-02,13,15,58.0,24.4,14.8,6.4
72,2018-07-02,13,30,16.0,24.4,14.8,6.4
73,2018-07-02,13,45,23.0,24.4,14.8,6.4
74,2018-07-02,14,15,41.0,24.4,14.8,6.4
75,2018-07-02,14,30,10.0,24.4,14.8,6.4
76,2018-07-02,14,45,30.0,24.4,14.8,6.4
77,2018-07-02,15,0,26.0,24.4,14.8,6.4
78,2018-07-02,15,15,25.0,24.4,14.8,6.4
79,2018-07-02,15,30,15.0,24.4,14.8,6.4
80,2018-07-02,15,45,30.0,24.4,14.8,6.4
81,2018-07-02,16,0,31.0,24.4,14.8,6.4
82,2018-07-02,16,15,59.0,24.4,14.8,6.4
83,2018-07-02,16,30,28.0,24.4,14.8,6.4
84,2018-07-02,16,45,51.0,24.4,14.8,6.4
85,2018-07-02,17,0,82.0,24.4,14.8,6.4
86,2018-07-02,17,15,83.0,24.4,14.8,6.4
87,2018-07-02,17,30,70.0,24.4,14.8,6.4
88,2018-07-02,17,45,26.0,24.4,14.8,6.4
89,2018-07-02,18,0,46.0,24.4,14.8,6.4
90,2018-07-02,18,15,14.0,24.4,14.8,6.4
91,2018-07-02,18,30,3.0,24.4,14.8,6.4
92,2018-07-02,18,45,34.0,24.4,14.8,6.4
93,2018-07-02,19,0,7.0,24.4,14.8,6.4
94,2018-07-02,19,15,29.0,24.4,14.8,6.4
95,2018-07-02,19,30,13.0,24.4,14.8,6.4
96,2018-07-02,19,45,17.0,24.4,14.8,6.4
97,2018-07-02,20,0,7.0,24.4,14.8,6.4
98,2018-07-02,20,30,4.0,24.4,14.8,6.4
99,2018-07-02,20,45,9.0,24.4,14.8,6.4
100,2018-07-02,21,0,6.0,24.4,14.8,6.4
101,2018-07-02,21,15,2.0,24.4,14.8,6.4
102,2018-07-02,21,30,4.0,24.4,14.8,6.4
103,2018-07-03,6,0,2.0,23.3,13.3,0.0
