,Date,Hour,Period,Passengers,TMax,TMin,Rain
1191,2018-07-23,6,0,6.0,22.2,8.2,0.0
1192,2018-07-23,6,15,2.0,22.2,8.2,0.0
1193,2018-07-23,6,30,4.0,22.2,8.2,0.0
1194,2018-07-23,6,45,6.0,22.2,8.2,0.0
1195,2018-07-23,7,0,11.0,22.2,8.2,0.0
1196,2018-07-23,7,15,22.0,22.2,8.2,0.0
1197,2018-07-23,7,30,42.0,22.2,8.2,0.0
1198,2018-07-23,7,45,30.0,22.2,8.2,0.0
1199,2018-07-23,8,0,10.0,22.2,8.2,0.0
1200,2018-07-23,8,15,35.0,22.2,8.2,0.0
1201,2018-07-23,8,30,25.0,22.2,8.2,0.0
1202,2018-07-23,8,45,37.0,22.2,8.2,0.0
1203,2018-07-23,9,0,29.0,22.2,8.2,0.0
1204,2018-07-23,9,15,23.0,22.2,8.2,0.0
1205,2018-07-23,9,30,8.0,22.2,8.2,0.0
1206,2018-07-23,9,45,24.0,22.2,8.2,0.0
1207,2018-07-23,10,0,79.0,22.2,8.2,0.0
1208,2018-07-23,10,15,25.0,22.2,8.2,0.0
1209,2018-07-23,10,30,26.0,22.2,8.2,0.0
1210,2018-07-23,10,45,34.0,22.2,8.2,0.0
1211,2018-07-23,11,0,34.0,22.2,8.2,0.0
1212,2018-07-23,11,15,59.0,22.2,8.2,0.0
1213,2018-07-23,11,30,29.0,22.2,8.2,0.0
1214,2018-07-23,11,45,55.0,22.2,8.2,0.0
1215,2018-07-23,12,0,61.0,22.2,8.2,0.0
1216,2018-07-23,12,15,43.0,22.2,8.2,0.0
1217,2018-07-23,12,30,70.0,22.2,8.2,0.0
1218,2018-07-23,12,45,90.0,22.2,8.2,0.0
1219,2018-07-23,13,0,115.0,22.2,8.2,0.0
1220,2018-07-23,13,15,126.0,22.2,8.2,0.0
1221,2018-07-23,13,30,69.0,22.2,8.2,0.0
1222,2018-07-23,13,45,73.0,22.2,8.2,0.0
1223,2018-07-23,14,0,167.0,22.2,8.2,0.0
1224,2018-07-23,14,15,57.0,22.2,8.2,0.0
1225,2018-07-23,14,30,86.0,22.2,8.2,0.0
1226,2018-07-23,14,45,126.0,22.2,8.2,0.0
1227,2018-07-23,15,0,65.0,22.2,8.2,0.0
1228,2018-07-23,15,15,107.0,22.2,8.2,0.0
1229,2018-07-23,15,30,86.0,22.2,8.2,0.0
1230,2018-07-23,15,45,125.0,22.2,8.2,0.0
1231,2018-07-23,16,0,257.0,22.2,8.2,0.0
1232,2018-07-23,16,15,153.0,22.2,8.2,0.0
1233,2018-07-23,16,30,109.0,22.2,8.2,0.0
1234,2018-07-23,16,45,80.0,22.2,8.2,0.0
1235,2018-07-23,17,0,169.0,22.2,8.2,0.0
