,Date,Hour,Period,Passengers,TMax,TMin,Rain
1505,2018-07-28,7,0,2.0,26.4,11.6,0.0
1506,2018-07-28,7,15,6.0,26.4,11.6,0.0
1507,2018-07-28,7,30,7.0,26.4,11.6,0.0
1508,2018-07-28,7,45,1.0,26.4,11.6,0.0
1509,2018-07-28,8,0,11.0,26.4,11.6,0.0
1510,2018-07-28,8,15,5.0,26.4,11.6,0.0
1511,2018-07-28,8,30,1.0,26.4,11.6,0.0
1512,2018-07-28,9,0,7.0,26.4,11.6,0.0
1513,2018-07-28,9,15,15.0,26.4,11.6,0.0
1514,2018-07-28,9,30,2.0,26.4,11.6,0.0
1515,2018-07-28,9,45,6.0,26.4,11.6,0.0
1516,2018-07-28,10,0,17.0,26.4,11.6,0.0
1517,2018-07-28,10,15,17.0,26.4,11.6,0.0
1518,2018-07-28,10,45,5.0,26.4,11.6,0.0
1519,2018-07-28,11,0,19.0,26.4,11.6,0.0
1520,2018-07-28,11,15,4.0,26.4,11.6,0.0
1521,2018-07-28,11,30,17.0,26.4,11.6,0.0
1522,2018-07-28,11,45,13.0,26.4,11.6,0.0
1523,2018-07-28,12,0,44.0,26.4,11.6,0.0
1524,2018-07-28,12,15,20.0,26.4,11.6,0.0
1525,2018-07-28,12,30,29.0,26.4,11.6,0.0
1526,2018-07-28,12,45,6.0,26.4,11.6,0.0
1527,2018-07-28,13,0,19.0,26.4,11.6,0.0
1528,2018-07-28,13,15,17.0,26.4,11.6,0.0
1529,2018-07-28,13,30,30.0,26.4,11.6,0.0
1530,2018-07-28,13,45,14.0,26.4,11.6,0.0
1531,2018-07-28,14,0,39.0,26.4,11.6,0.0
1532,2018-07-28,14,15,24.0,26.4,11.6,0.0
1533,2018-07-28,14,30,64.0,26.4,11.6,0.0
1534,2018-07-28,15,0,35.0,26.4,11.6,0.0
1535,2018-07-28,15,15,9.0,26.4,11.6,0.0
1536,2018-07-28,15,30,66.0,26.4,11.6,0.0
1537,2018-07-28,15,45,1.0,26.4,11.6,0.0
1538,2018-07-28,16,0,17.0,26.4,11.6,0.0
1539,2018-07-28,16,15,31.0,26.4,11.6,0.0
1540,2018-07-28,16,30,30.0,26.4,11.6,0.0
1541,2018-07-28,16,45,3.0,26.4,11.6,0.0
1542,2018-07-28,17,0,53.0,26.4,11.6,0.0
1543,2018-07-28,17,15,33.0,26.4,11.6,0.0
1544,2018-07-28,17,30,48.0,26.4,11.6,0.0
1545,2018-07-28,17,45,15.0,26.4,11.6,0.0
1546,2018-07-28,18,0,36.0,26.4,11.6,0.0
1547,2018-07-28,18,15,10.0,26.4,11.6,0.0
1548,2018-07-28,18,30,40.0,26.4,11.6,0.0
1549,2018-07-28,18,45,1.0,26.4,11.6,0.0
1550,2018-07-28,19,0,31.0,26.4,11.6,0.0
1551,2018-07-28,19,15,26.0,26.4,11.6,0.0
1552,2018-07-29,7,0,4.0,26.4,12.4,0.0
1553,2018-07-29,7,15,3.0,26.4,12.4,0.0
1554,2018-07-29,7,30,4.0,26.4,12.4,0.0
1555,2018-07-29,7,45,3.0,26.4,12.4,0.0
1556,2018-07-29,8,15,2.0,26.4,12.4,0.0
1557,2018-07-29,8,30,10.0,26.4,12.4,0.0
1558,2018-07-29,9,0,1.0,26.4,12.4,0.0
1559,2018-07-29,9,15,6.0,26.4,12.4,0.0
1560,2018-07-29,9,30,24.0,26.4,12.4,0.0
1561,2018-07-29,10,0,13.0,26.4,12.4,0.0
1562,2018-07-29,10,15,5.0,26.4,12.4,0.0
1563,2018-07-29,10,30,6.0,26.4,12.4,0.0
1564,2018-07-29,10,45,5.0,26.4,12.4,0.0
1565,2018-07-29,11,0,3.0,26.4,12.4,0.0
1566,2018-07-29,11,15,4.0,26.4,12.4,0.0
1567,2018-07-29,11,30,26.0,26.4,12.4,0.0
1568,2018-07-29,11,45,10.0,26.4,12.4,0.0
1569,2018-07-29,12,0,8.0,26.4,12.4,0.0
1570,2018-07-29,12,15,7.0,26.4,12.4,0.0
1571,2018-07-29,12,30,40.0,26.4,12.4,0.0
1572,2018-07-29,12,45,2.0,26.4,12.4,0.0
1573,2018-07-29,13,0,27.0,26.4,12.4,0.0
1574,2018-07-29,13,15,23.0,26.4,12.4,0.0
1575,2018-07-29,13,30,13.0,26.4,12.4,0.0
1576,2018-07-29,13,45,60.0,26.4,12.4,0.0
1577,2018-07-29,14,0,5.0,26.4,12.4,0.0
1578,2018-07-29,14,15,10.0,26.4,12.4,0.0
1579,2018-07-29,14,30,31.0,26.4,12.4,0.0
1580,2018-07-29,14,45,19.0,26.4,12.4,0.0
1581,2018-07-29,15,0,10.0,26.4,12.4,0.0
1582,2018-07-29,15,30,8.0,26.4,12.4,0.0
1583,2018-07-29,15,45,26.0,26.4,12.4,0.0
1584,2018-07-29,16,0,1.0,26.4,12.4,0.0
1585,2018-07-29,16,15,28.0,26.4,12.4,0.0
1586,2018-07-29,16,30,19.0,26.4,12.4,0.0
1587,2018-07-29,16,45,32.0,26.4,12.4,0.0
1588,2018-07-29,17,0,2.0,26.4,12.4,0.0
1589,2018-07-29,17,15,28.0,26.4,12.4,0.0
1590,2018-07-29,17,30,40.0,26.4,12.4,0.0
1591,2018-07-29,17,45,35.0,26.4,12.4,0.0
1592,2018-07-29,18,0,1.0,26.4,12.4,0.0
1593,2018-07-29,18,15,38.0,26.4,12.4,0.0
1594,2018-07-29,18,30,24.0,26.4,12.4,0.0
1595,2018-07-29,18,45,17.0,26.4,12.4,0.0
1596,2018-07-29,19,0,1.0,26.4,12.4,0.0
1597,2018-07-29,19,15,10.0,26.4,12.4,0.0
1914,2018-08-04,7,0,3.0,27.1,11.7,0.0
1915,2018-08-04,7,30,6.0,27.1,11.7,0.0
1916,2018-08-04,8,0,6.0,27.1,11.7,0.0
1917,2018-08-04,8,30,20.0,27.1,11.7,0.0
1918,2018-08-04,8,45,5.0,27.1,11.7,0.0
1919,2018-08-04,9,0,19.0,27.1,11.7,0.0
1920,2018-08-04,9,30,18.0,27.1,11.7,0.0
1921,2018-08-04,10,0,9.0,27.1,11.7,0.0
1922,2018-08-04,10,15,14.0,27.1,11.7,0.0
1923,2018-08-04,10,45,11.0,27.1,11.7,0.0
1924,2018-08-04,11,0,6.0,27.1,11.7,0.0
1925,2018-08-04,11,15,17.0,27.1,11.7,0.0
1926,2018-08-04,11,30,16.0,27.1,11.7,0.0
1927,2018-08-04,11,45,23.0,27.1,11.7,0.0
1928,2018-08-04,12,15,22.0,27.1,11.7,0.0
1929,2018-08-04,12,30,15.0,27.1,11.7,0.0
1930,2018-08-04,12,45,19.0,27.1,11.7,0.0
1931,2018-08-04,13,0,18.0,27.1,11.7,0.0
1932,2018-08-04,13,15,51.0,27.1,11.7,0.0
1933,2018-08-04,13,45,14.0,27.1,11.7,0.0
1934,2018-08-04,14,0,37.0,27.1,11.7,0.0
1935,2018-08-04,14,30,21.0,27.1,11.7,0.0
1936,2018-08-04,14,45,1.0,27.1,11.7,0.0
1937,2018-08-04,15,0,31.0,27.1,11.7,0.0
1938,2018-08-04,15,30,16.0,27.1,11.7,0.0
1939,2018-08-04,15,45,16.0,27.1,11.7,0.0
1940,2018-08-04,16,0,30.0,27.1,11.7,0.0
1941,2018-08-04,16,30,17.0,27.1,11.7,0.0
1942,2018-08-04,16,45,16.0,27.1,11.7,0.0
1943,2018-08-04,17,0,18.0,27.1,11.7,0.0
1944,2018-08-04,17,15,28.0,27.1,11.7,0.0
1945,2018-08-04,17,30,27.0,27.1,11.7,0.0
1946,2018-08-04,17,45,58.0,27.1,11.7,0.0
1947,2018-08-04,18,0,10.0,27.1,11.7,0.0
1948,2018-08-04,18,15,47.0,27.1,11.7,0.0
1949,2018-08-04,18,30,40.0,27.1,11.7,0.0
1950,2018-08-04,18,45,47.0,27.1,11.7,0.0
1951,2018-08-04,19,0,4.0,27.1,11.7,0.0
1952,2018-08-04,19,15,21.0,27.1,11.7,0.0
1953,2018-08-05,6,45,2.0,25.3,10.3,0.0
1954,2018-08-05,7,30,4.0,25.3,10.3,0.0
1955,2018-08-05,7,45,3.0,25.3,10.3,0.0
1956,2018-08-05,8,0,3.0,25.3,10.3,0.0
1957,2018-08-05,8,30,12.0,25.3,10.3,0.0
1958,2018-08-05,8,45,5.0,25.3,10.3,0.0
1959,2018-08-05,9,0,28.0,25.3,10.3,0.0
1960,2018-08-05,9,30,27.0,25.3,10.3,0.0
1961,2018-08-05,9,45,15.0,25.3,10.3,0.0
1962,2018-08-05,10,0,4.0,25.3,10.3,0.0
1963,2018-08-05,10,15,30.0,25.3,10.3,0.0
1964,2018-08-05,10,30,2.0,25.3,10.3,0.0
1965,2018-08-05,10,45,32.0,25.3,10.3,0.0
1966,2018-08-05,11,0,34.0,25.3,10.3,0.0
1967,2018-08-05,11,15,21.0,25.3,10.3,0.0
1968,2018-08-05,11,30,20.0,25.3,10.3,0.0
1969,2018-08-05,11,45,44.0,25.3,10.3,0.0
1970,2018-08-05,12,0,98.0,25.3,10.3,0.0
1971,2018-08-05,12,15,16.0,25.3,10.3,0.0
1972,2018-08-05,12,30,105.0,25.3,10.3,0.0
1973,2018-08-05,12,45,124.0,25.3,10.3,0.0
1974,2018-08-05,13,0,75.0,25.3,10.3,0.0
1975,2018-08-05,13,15,18.0,25.3,10.3,0.0
1976,2018-08-05,13,30,132.0,25.3,10.3,0.0
1977,2018-08-05,13,45,105.0,25.3,10.3,0.0
1978,2018-08-05,14,0,69.0,25.3,10.3,0.0
1979,2018-08-05,14,15,122.0,25.3,10.3,0.0
1980,2018-08-05,14,30,99.0,25.3,10.3,0.0
1981,2018-08-05,14,45,118.0,25.3,10.3,0.0
1982,2018-08-05,15,0,86.0,25.3,10.3,0.0
1983,2018-08-05,15,15,62.0,25.3,10.3,0.0
1984,2018-08-05,15,30,47.0,25.3,10.3,0.0
1985,2018-08-05,15,45,120.0,25.3,10.3,0.0
1986,2018-08-05,16,0,25.0,25.3,10.3,0.0
1987,2018-08-05,16,15,2.0,25.3,10.3,0.0
1988,2018-08-05,16,30,44.0,25.3,10.3,0.0
1989,2018-08-05,16,45,29.0,25.3,10.3,0.0
1990,2018-08-05,17,15,30.0,25.3,10.3,0.0
1991,2018-08-05,17,30,70.0,25.3,10.3,0.0
1992,2018-08-05,17,45,62.0,25.3,10.3,0.0
1993,2018-08-05,18,0,6.0,25.3,10.3,0.0
1994,2018-08-05,18,15,61.0,25.3,10.3,0.0
1995,2018-08-05,18,30,41.0,25.3,10.3,0.0
1996,2018-08-05,18,45,9.0,25.3,10.3,0.0
1997,2018-08-05,19,0,24.0,25.3,10.3,0.0
2314,2018-08-11,7,0,3.0,24.9,11.0,0.0
2315,2018-08-11,7,30,2.0,24.9,11.0,0.0
2316,2018-08-11,7,45,6.0,24.9,11.0,0.0
2317,2018-08-11,8,15,5.0,24.9,11.0,0.0
2318,2018-08-11,8,30,6.0,24.9,11.0,0.0
